symbol,train_win_rate,train_gap_threshold_value
MUTHOOTFIN,0.56,2.77
NATCOPHARM,0.67,3.05
NBCC,0.65,2.03
NCC,0.62,3.11
NESCO,0.79,2.59
NHPC,0.82,2.22
NLCINDIA,0.83,2.62
NMDC,0.62,2.4
NOCIL,0.84,2.78
NTPC,0.65,1.62
NH,0.69,2.85
NATIONALUM,0.74,2.58
NFL,0.76,3.69
NAVINFLUOR,0.75,2.91
NESTLEIND,0.82,1.58
NETWORK18,0.77,2.89
NILKAMAL,0.78,3.34
NAM-INDIA,0.75,2.37
OBEROIRLTY,0.91,3.18
ONGC,0.68,2.03
OIL,0.87,1.8
OFSS,0.89,1.64
ORIENTELEC,0.74,3.13
PIIND,0.74,3.37
PNBHOUSING,0.5,2.47
PNCINFRA,0.97,3.1
PVR,0.76,2.39
PAGEIND,0.77,2.28
PERSISTENT,0.8,2.33
PETRONET,0.6,1.63
PFIZER,0.79,2.24
PHILIPCARB,0.66,3.2
PHOENIXLTD,0.9,3.84
PIDILITIND,0.81,1.68
PEL,0.81,2.0
POLYMED,0.77,4.43
POLYCAB,0.56,2.73
POLYPLEX,0.9,3.32
POONAWALLA,0.89,3.35
PFC,0.54,1.88
POWERGRID,0.61,1.21
PRAJIND,0.77,2.89
PRESTIGE,0.86,2.95
PRINCEPIPE,0.31,3.92
PRSMJOHNSN,0.97,2.85
PGHL,0.8,2.48
PGHH,0.68,2.23
PNB,0.58,2.18
QUESS,0.52,3.02
RBLBANK,0.56,2.44
RECLTD,0.47,1.77
RHIM,0.89,4.89
RITES,0.62,2.5
RADICO,0.72,2.66
RVNL,0.5,4.04
RAILTEL,0.67,3.31
RAIN,0.49,3.39
RAJESHEXPO,0.75,1.93
RALLIS,0.77,2.27
RCF,0.69,3.33
RATNAMANI,0.89,3.85
REDINGTON,0.81,2.7
RELAXO,0.87,4.85
RELIANCE,0.52,1.43
ROSSARI,0.62,1.8
ROUTE,0.75,2.47
SBICARD,0.83,2.27
SBILIFE,0.45,1.69
SIS,0.83,3.01
SJVN,0.91,2.98
SKFINDIA,0.9,2.52
SRF,0.77,2.25
SANOFI,0.87,2.7
SCHAEFFLER,0.94,3.52
SCHNEIDER,0.68,3.12
SEQUENT,0.6,3.49
SHARDACROP,0.74,2.68
